Publication.Year,Study.Name,Study.Name.numbered,Title,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Location,Latitude,Longitude,Wild.Managed.Captive,Population.Type,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size.Study,Av.Clutch.Size.Mean,Clutch.Size.Cooney,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (36),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Falconiformes,Falconidae,American Kestrel,Falco_sparverius,Falco_sparverius,Falco_sparverius,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,17.1,82.9,NA,NA,,,4.4,NA,NA,4.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (37),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Muscicapidae,European Pied Flycatcher/Pied Flycatcher,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,9.3,90.7,NA,NA,,,5.15,NA,NA,5.791666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (38),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Fringillidae,Common Chaffinch,Fringilla_coelebs,Fringilla_coelebs,Fringilla_coelebs,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,13.5,86.5,NA,NA,,,4,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (39),Genetic similarity and hatching success in birds,YES,YES,NO,1976,1983,7,Procellariiformes,Procellariidae,Northern Fulmar,Fulmarus_glacialis,Fulmarus_glacialis,Fulmarus_glacialis,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Semidi Islands, western Gulf of Alaska",56.062042,-156.698399,Wild,,Natural,No,No,No,No,No,No,No,No,7,93,0.76,NA,,,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1761.950389,NA,NA,NA,NA,1761.950389,1638.613861,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (40),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Gruiformes,Rallidae,Common Moorhen,Gallinula_chloropus,Gallinula_chloropus,Gallinula_chloropus,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,9.4,90.6,NA,NA,,,7,NA,NA,7.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (41),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Gruiformes,Rallidae,Tasmanian Native-hen,Tribonyx_mortierii/Gallinula_mortieri,Tribonyx_mortierii,Gallinula_mortierii,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,35.4,64.6,NA,NA,,,6.36,NA,NA,6.3525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (42),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Parulidae,Common Yellowthroat,Geothlypis_trichas,Geothlypis_trichas,Geothlypis_trichas,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,5.8,94.2,NA,NA,,,3.99,NA,NA,3.9825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (43),Genetic similarity and hatching success in birds,YES,YES,NO,1987,1990,3,Cuculiformes,Cuculidae,Guira Cuckoo,Guira_guira,Guira_guira,Guira_guira,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Central Brazilian Plateau, near Brasilia",-15.783333,-47.933333,Wild,,Natural,No,No,No,No,No,No,No,No,30.2,69.8,0,0,,,NA,10.0 ± 3.7,10,8.25,NA,NA,NA,NA,NA,33,NA,33,225.08,330,272.25,NA,NA,225.08,157.10584,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (44),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Charadriiformes,Haematopodidae,Eurasian Oystercatcher,Haematopus_ostralegus,Haematopus_ostralegus,Haematopus_ostralegus,NA,NT,NT,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,4,96,NA,NA,,,2.77,NA,NA,2.8925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (45),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Hirundinidae,Barn Swallow,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,2,98,NA,NA,,,4.47,NA,NA,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
